All-Genes	Pathways of gene
BNA3	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
BNA4	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
BNA5	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
BNA6	NAD <i>de novo</i> biosynthesis II (from tryptophan) // NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
BNA7	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
BNI1	
BNI4	
BNI5	
BNR1	
BNS1	
BOI1	
BOI2	
BOL1	
BOL2	
BOL3	
BOP2	
BOP3	
BOR1	
BOS1	
BPH1	
BPL1	biotin-carboxyl carrier protein assembly
BPT1	glutathione-mediated detoxification II // glutathione-mediated detoxification I
BRE1	protein ubiquitination
BRE2	
BRE4	
BRE5	
BRF1	
BRL1	
BRN1	
BRO1	
BRP1	
BRR1	
BRR2	
BRR6	
BRX1	
BSC1	
BSC2	
BSC4	
BSC5	
BSC6	
BSD2	
BSP1	
BST1	
BTN2	
BTS1	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // geranylgeranyl diphosphate biosynthesis
BTT1	
BUB1	
BUB2	
BUB3	
BUD13	
BUD14	
BUD16	pyridoxal 5'-phosphate salvage I // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
BUD17	pyridoxal 5'-phosphate salvage I // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
BUD2	
BUD20	
BUD21	
BUD22	
BUD23	
BUD25	
BUD27	
BUD3	
BUD31	
BUD32	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
BUD4	
BUD5	
BUD6	
BUD7	chitin biosynthesis
BUD8	
BUD9	
BUG1	
BUL1	protein ubiquitination
BUL2	protein ubiquitination
BUR2	
BUR6	
BXI1	
BYE1	
BZZ1	
CAB1	phosphopantothenate biosynthesis I
CAB2	coenzyme A biosynthesis II (eukaryotic)
CAB3	coenzyme A biosynthesis II (eukaryotic)
CAB4	coenzyme A biosynthesis II (eukaryotic)
CAB5	coenzyme A biosynthesis II (eukaryotic)
CAC2	
CAD1	
CAF120	
CAF130	
CAF16	
CAF20	
CAF4	
CAF40	
CAJ1	
CAK1	
CAM1	
CAN1	
CAP1	
CAP2	
CAR1	arginine degradation VI (arginase 2 pathway) // urea cycle // putrescine biosynthesis III
CAR2	arginine degradation VI (arginase 2 pathway)
CAT2	carnitine shuttle
CAT8	
CAX4	
CBC2	
CBF1	
CBF2	
CBF5	
CBK1	
CBP1	
CBP2	
CBP3	
CBP4	
CBP6	
CBR1	
CBS1	
CBS2	
CBT1	
CCA1	
CCC1	
CCC2	
CCE1	
CCH1	
CCL1	
CCM1	
CCP1	
CCR4	
CCS1	reactive oxygen species degradation // superoxide radicals degradation
CCT2	
CCT3	
CCT4	
CCT5	
CCT6	
CCT7	
CCT8	
CCW12	
CCW14	
CCZ1	
CDA1	chitosan biosynthesis // chitin deacetylation
CDA2	chitosan biosynthesis // chitin deacetylation
CDC1	
CDC10	
CDC11	
CDC12	
CDC123	
CDC13	
CDC14	
CDC15	
CDC16	protein ubiquitination
CDC19	glycolysis // glycolysis III (from glucose)
CDC20	protein ubiquitination
CDC21	folate interconversions // dTMP <i>de novo</i> biosynthesis (mitochondrial) // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP
CDC23	protein ubiquitination
CDC24	
CDC25	
CDC26	protein ubiquitination
CDC27	protein ubiquitination
CDC28	
CDC3	
CDC31	
CDC33	
CDC34	protein ubiquitination
CDC36	
CDC37	
CDC39	
CDC4	protein ubiquitination
CDC40	
CDC42	
CDC43	
CDC45	
CDC48	
CDC5	
CDC50	
CDC53	protein ubiquitination
CDC55	
CDC6	
CDC60	tRNA charging
CDC65	tRNA charging // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
CDC7	
CDC73	
CDC8	superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // UTP and CTP <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP // pyrimidine deoxyribonucleotide phosphorylation
CDC9	
CDD1	superpathway of pyrimidine ribonucleosides salvage // pyrimidine ribonucleosides salvage II // pyrimidine ribonucleosides salvage I
CDH1	protein ubiquitination
CDS1	phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I
CEF1	
CEG1	mRNA capping I
CEM1	fatty acid biosynthesis initiation (mitochondria) // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
CEP3	
CET1	mRNA capping I
CEX1	
CFD1	
CFT1	
CFT2	
CGI121	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
CGR1	
CHA1	L-serine degradation // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)
CHA4	
CHC1	
CHD1	
CHK1	
CHL1	
CHL4	
CHM7	
CHO1	phosphatidylserine and phosphatidylethanolamine biosynthesis I
CHO2	phosphatidylcholine biosynthesis V
CHS1	chitin biosynthesis
CHS2	chitin biosynthesis
CHS3	chitin biosynthesis
CHS5	chitin biosynthesis
CHS6	chitin biosynthesis
CHS7	
CHZ1	
CIA1	
CIA2	
CIC1	
CIK1	
CIN1	
CIN10	
CIN2	
CIN4	
CIN5	
CIN8	
CIP1	
CIR1	
CIR2	
CIS1	
CIS3	
CIT1	TCA cycle II (plants and fungi)
CIT2	glyoxylate cycle // TCA cycle II (plants and fungi)
CIT3	TCA cycle II (plants and fungi)
CKA1	
CKA2	
CKB1	
CKB2	
CKI1	phospholipid biosynthesis II (Kennedy pathway) // phosphatidylethanolamine biosynthesis II // phosphatidylcholine biosynthesis I
CKS1	
CLA4	
CLB1	
CLB2	
CLB3	
CLB4	
CLB5	
CLB6	
CLC1	
CLD1	
CLF1	
CLG1	
CLN1	
CLN2	
CLN3	
CLP1	
CLU1	
CMC1	
CMC2	
CMC4	
CMD1	
CMG1	
CMI7	
CMI8	
CMK1	
CMK2	
CMP2	
CMR1	
CMR2	
CMR3	
CMS1	
CNA1	
CNB1	
CNE1	
CNL1	
CNM67	
CNN1	
CNS1	
COA1	
COA2	
COA3	
COA4	
COA6	
COB	aerobic respiration I (cytochrome c)
COF1	
COG1	
COG2	
COG3	
COG4	
COG5	
COG6	
COG7	
COG8	
COI1	
COM2	
COP1	
COQ1	hexaprenyl diphosphate biosynthesis
COQ10	
COQ11	
COQ2	superpathway of chorismate metabolism // ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic) // superpathway of ubiquinol-6 biosynthesis (eukaryotic) // ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
COQ21	
COQ3	superpathway of ubiquinol-6 biosynthesis (eukaryotic) // superpathway of chorismate metabolism // ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast) // ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
COQ4	
COQ5	superpathway of ubiquinol-6 biosynthesis (eukaryotic) // superpathway of chorismate metabolism // ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast) // ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
COQ6	superpathway of chorismate metabolism // ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic) // superpathway of ubiquinol-6 biosynthesis (eukaryotic) // ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
COQ7	superpathway of ubiquinol-6 biosynthesis (eukaryotic) // superpathway of chorismate metabolism // ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast) // ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
COQ8	
COQ9	
COR1	aerobic respiration I (cytochrome c)
COS1	
COS10	
COS111	
COS12	
COS2	
COS3	
COS4	
COS5	
COS6	
COS7	
COS8	
COS9	
COT1	
COX1	aerobic respiration I (cytochrome c)
COX10	heme <i>a</i> biosynthesis
COX11	
COX12	aerobic respiration I (cytochrome c)
COX13	aerobic respiration I (cytochrome c)
COX14	
COX15	heme <i>a</i> biosynthesis
COX16	
COX17	
COX18	
COX19	
COX2	aerobic respiration I (cytochrome c)
COX20	
COX23	
COX26	
COX3	aerobic respiration I (cytochrome c)
COX4	aerobic respiration I (cytochrome c)
COX5A	aerobic respiration I (cytochrome c)
COX5B	aerobic respiration I (cytochrome c)
COX6	aerobic respiration I (cytochrome c)
COX7	aerobic respiration I (cytochrome c)
COX8	aerobic respiration I (cytochrome c)
COX9	aerobic respiration I (cytochrome c)
COY1	
CPA1	urea cycle // glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // arginine biosynthesis
CPA2	urea cycle // glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // arginine biosynthesis
CPD1	tRNA splicing
CPR1	NAD salvage pathway V (PNC V cycle)
CPR2	
CPR3	
CPR4	
CPR5	
CPR6	
CPR7	
CPR8	
CPS1	
CPT1	phosphatidylcholine biosynthesis I // choline biosynthesis III // phosphatidylcholine resynthesis via glycerophosphocholine
CRC1	
CRD1	cardiolipin biosynthesis
CRF1	
CRG1	
CRH1	
CRM1	
CRN1	
CRP1	
CRR1	
CRT10	
CRZ1	
CSC1	
CSE1	
CSE2	
CSE4	
CSF1	
CSG2	sphingolipid biosynthesis (yeast)
CSH1	sphingolipid biosynthesis (yeast)
CSI1	
CSI2	
CSL4	
CSM1	
CSM2	
CSM3	
CSM4	
CSN9	
CSR1	
CSR2	
CSS1	
CSS2	
CSS3	
CST26	
CST6	
CST9	
CTA1	reactive oxygen species degradation // superoxide radicals degradation
CTF13	
CTF18	
CTF19	
CTF3	
CTF4	protein ubiquitination
CTF8	
CTH1	
CTI6	
CTK1	
CTK2	
CTK3	
CTL1	
CTM1	
CTO1	
CTP1	
CTR1	
CTR2	
CTR3	
CTR86	
CTR9	
CTS1	
CTS2	
CTT1	reactive oxygen species degradation // superoxide radicals degradation
CUB1	
CUE1	protein ubiquitination
CUE2	
CUE3	
CUE4	
CUE5	
CUL3	protein ubiquitination
CUP1-1	
CUP1-2	
CUP2	
CUP9	
CUR1	
CUS1	
CUS2	
CUZ1	
CWC15	
CWC2	
CWC21	
CWC22	
CWC23	
CWC24	
CWC25	
CWC27	
CWH41	protein <i>N</i>-glycosylation (yeast) processing in the ER
CWH43	
CWP1	
CWP2	
CYB2	methylglyoxal degradation V
CYB5	
CYC1	
CYC2	
CYC3	cytochrome <i>c</i> biogenesis
CYC7	
CYC8	
CYK3	
CYM1	
CYR1	
CYS3	L-cysteine degradation II // superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion
CYS4	superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion
CYT1	aerobic respiration I (cytochrome c)
CYT2	cytochrome <i>c</i> biogenesis
DAD1	
DAD2	
DAD3	
DAD4	
DAK1	
DAK2	
DAL1	superpathway of allantoin degradation in yeast // allantoin degradation to glyoxylate I // allantoin degradation to ureidoglycolate I (urea producing)
DAL2	superpathway of allantoin degradation in yeast // allantoin degradation to glyoxylate I // allantoin degradation to ureidoglycolate I (urea producing)
DAL3	superpathway of allantoin degradation in yeast // allantoin degradation to glyoxylate I
DAL4	
DAL5	
DAL7	glyoxylate cycle
DAL80	
DAL81	
DAL82	
DAM1	
DAN1	
DAN4	
DAP1	
DAP2	
DAS1	protein ubiquitination
DAS2	superpathway of pyrimidine ribonucleosides salvage // pyrimidine ribonucleosides salvage I
DAT1	
DBF2	
DBF20	
DBF4	
DBP1	
DBP10	
DBP2	
DBP3	
DBP5	
DBP6	
DBP7	
DBP8	
DBP9	
DBR1	
DCC1	
DCD1	pyrimidine deoxyribonucleotides biosynthesis from CTP
DCG1	
